Symbol,Sector,industry
GLW,Basic Industries,Telecommunications Equipment
CAAP,Transportation,Aerospace
GYC,Finance,Finance: Consumer Services
OFC,Consumer Services,Real Estate Investment Trusts
CTVA,Consumer Non-Durables,Farming/Seeds/Milling
CZZ,Consumer Non-Durables,Specialty Foods
CMRE,Transportation,Marine Transportation
CMRE^B,,
CMRE^C,,
CMRE^D,,
CMRE^E,,
COTY,Consumer Non-Durables,Package Goods/Cosmetics
CUZ,Consumer Services,Real Estate Investment Trusts
CVA,Basic Industries,Electric Utilities: Central
CPF,Finance,Major Banks
CR,Capital Goods,Metal Fabrications
CRD.A,,
CRD.B,,
BAP,Finance,Commercial Banks
CS,Finance,Investment Bankers/Brokers/Service
CPG,Energy,Oil & Gas Production
CEQP,Public Utilities,Oil & Gas Production
CEQP^,,
CRH,Capital Goods,Building Materials
CRT,Energy,Oil & Gas Production
CAPL,Energy,Oil Refining/Marketing
CCI,,
CCK,Consumer Durables,Containers/Packaging
CRY,Health Care,Medical/Dental Instruments
CTS,Technology,Electrical Products
CUBE,Consumer Services,Real Estate Investment Trusts
CUB,Capital Goods,Industrial Machinery/Components
CFR,Finance,Major Banks
CFR^B,,
CULP,Basic Industries,Textiles
CMI,Energy,Industrial Machinery/Components
CURO,Finance,Finance: Consumer Services
CW,Technology,Industrial Machinery/Components
SRV,,
SZC,,
CWK,Finance,Real Estate
CUBB,Finance,Major Banks
CUBI,Finance,Major Banks
CUBI^C,,
CUBI^D,,
CUBI^E,,
